DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
  [w1] ( 1, 8) tf=4.17080 dV=0.7788 peris=  6762 vArr=0.603 glob=45.12km PASS (6s)
  [w1] ( 7, 7) tf=4.25323 dV=0.7949 peris=  5515 vArr=0.156 glob=9.40km PASS (33s)
  [w1] ( 6, 8) tf=44.24639 dV=9.0440 peris= -1638 vArr=0.603 glob=Infkm fail (602s)
  [w1] ( 6, 8) tf=3.74359 dV=0.6958 peris=  6817 vArr=0.603 glob=14.33km PASS (12s)
  [w1] (12, 8) tf=4.19308 dV=0.7831 peris=  6763 vArr=0.603 glob=61.42km PASS (5s)
  [w1] ( 8, 7) tf=4.19042 dV=0.7826 peris=  5616 vArr=0.156 glob=8.10km PASS (8s)
  [w1] ( 7, 8) tf=4.80107 dV=0.8410 peris=  6771 vArr=0.603 glob=Infkm fail (342s)
  [w1] ( 7, 8) tf=3.71058 dV=0.6894 peris=  6816 vArr=0.603 glob=12.43km PASS (6s)
  [w1] (11, 8) tf=4.22751 dV=0.7899 peris=  6764 vArr=0.603 glob=84.45km PASS (6s)
  [w1] ( 8, 8) tf=49.82043 dV=24.6070 peris= -1734 vArr=0.603 glob=Infkm fail (224s)
  [w1] ( 8, 8) tf=3.68952 dV=0.6853 peris=  6816 vArr=0.603 glob=13.45km PASS (6s)
  [w1] (10, 8) tf=4.27861 dV=0.7999 peris=  6765 vArr=0.603 glob=112.54km fail (5s)
  [w1] ( 9, 8) tf=3.68704 dV=0.6849 peris=  6817 vArr=0.603 glob=13.05km PASS (7s)
  [w1] (10, 8) tf=4.27690 dV=0.7995 peris=  6485 vArr=0.603 glob=0.43km PASS (33s)
DONE: 132/144 solved+gated, 132 attempted, 471.3 min total
fastest GATED point: tf=3.656598 at (sD,sA)=(0.083,0.409), peris 6469 km, arrAlt 33007 km
