  ( 3, 4) T=  7.0  tf=0.20340 (0.902 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  5.0  tf=0.24069 (1.067 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  3.0  tf=0.30943 (1.372 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  2.0  tf=0.37739 (1.673 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  1.5  direct fail (defect 2.9e-10) -- ladder stops
  ( 4, 4) T= 15.0  tf=0.12303 (0.545 d)  fly=0.00km  acc=NaN  fail (47s)
  ( 4, 4) T= 12.0  tf=0.14053 (0.623 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 4) T= 10.0  tf=0.15651 (0.694 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 4, 4) T=  7.0  tf=0.19275 (0.854 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 4) T=  5.0  tf=0.23383 (1.036 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 4) T=  3.0  tf=0.31181 (1.382 d)  fly=0.00km  acc=0.0e+00  OK (30s)
  ( 4, 4) T=  2.0  tf=0.39067 (1.732 d)  fly=0.00km  acc=1.5e-10  OK (13s)
  ( 4, 4) T=  1.5  tf=0.45835 (2.032 d)  fly=0.00km  acc=2.2e-10  OK (18s)
  ( 4, 4) T=  1.0  tf=0.57485 (2.548 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 139 verified entries over 16 cells, 5.4 min
THRUST LADDER: 14 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (22 cells resumed/skipped)
  ( 5, 4) T= 15.0  tf=0.14738 (0.653 d)  fly=0.00km  acc=0.0e+00  OK (34s)
  ( 5, 4) T= 12.0  tf=0.16714 (0.741 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T= 10.0  tf=0.18513 (0.821 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 4) T=  7.0  tf=0.22582 (1.001 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  5.0  tf=0.27205 (1.206 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T=  3.0  tf=0.36042 (1.598 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T=  2.0  tf=0.45014 (1.995 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 5, 4) T=  1.5  tf=0.52682 (2.335 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T=  1.0  tf=0.65730 (2.914 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T= 15.0  tf=0.16038 (0.711 d)  fly=0.00km  acc=0.0e+00  OK (31s)
  ( 6, 4) T= 12.0  tf=0.18168 (0.805 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T= 10.0  tf=0.20097 (0.891 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  7.0  tf=0.24431 (1.083 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  5.0  tf=0.29309 (1.299 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  3.0  tf=0.38506 (1.707 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  2.0  tf=0.47704 (2.115 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  1.5  tf=0.55474 (2.459 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  1.0  tf=0.68560 (3.039 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T= 15.0  tf=0.16175 (0.717 d)  fly=0.00km  acc=0.0e+00  OK (48s)
  ( 1, 5) T= 12.0  tf=0.18285 (0.811 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T= 10.0  tf=0.20187 (0.895 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 5) T=  7.0  tf=0.24432 (1.083 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T=  5.0  tf=0.29165 (1.293 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  3.0  tf=0.37981 (1.684 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  2.0  tf=0.46691 (2.070 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  1.5  tf=0.54013 (2.394 d)  fly=0.00km  acc=0.0e+00  OK (1s)
