  ( 1, 4) T=  2.0  tf=0.39254 (1.740 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 1, 4) T=  1.5  tf=0.45264 (2.006 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 1, 4) T=  1.0  tf=0.55337 (2.453 d)  fly=0.00km  acc=0.0e+00  OK (21s)
  ( 2, 4) T= 15.0  tf=0.13827 (0.613 d)  fly=0.01km  acc=NaN  fail (14s)
  ( 2, 4) T= 12.0  tf=0.15558 (0.690 d)  fly=0.02km  acc=NaN  fail (3s)
  ( 2, 4) T= 10.0  tf=0.17114 (0.759 d)  fly=0.02km  acc=NaN  fail (2s)
  ( 2, 4) T=  7.0  tf=0.20577 (0.912 d)  fly=0.03km  acc=NaN  fail (3s)
  ( 2, 4) T=  5.0  tf=0.24428 (1.083 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 2, 4) T=  3.0  tf=0.31601 (1.401 d)  fly=0.19km  acc=NaN  fail (4s)
  ( 2, 4) T=  2.0  tf=0.38714 (1.716 d)  fly=0.00km  acc=0.0e+00  OK (27s)
  ( 2, 4) T=  1.5  tf=0.44717 (1.982 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 2, 4) T=  1.0  rejected pre-flight (minAlt 2532 km, tf 6.1473) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 142 verified entries over 20 cells, 4.0 min
THRUST LADDER: 16 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (20 cells resumed/skipped)
  ( 3, 4) T= 15.0  tf=0.11955 (0.530 d)  fly=0.02km  acc=NaN  fail (17s)
  ( 3, 4) T= 12.0  tf=0.13473 (0.597 d)  fly=0.02km  acc=NaN  fail (4s)
  ( 3, 4) T= 10.0  tf=0.14845 (0.658 d)  fly=0.02km  acc=NaN  fail (4s)
  ( 3, 4) T=  7.0  tf=0.17921 (0.794 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 4) T=  5.0  rejected pre-flight (minAlt 2532 km, tf 0.6746) -- ladder stops
  ( 4, 4) T= 15.0  tf=0.09216 (0.409 d)  fly=0.00km  acc=0.0e+00  OK (55s)
  ( 4, 4) T= 12.0  tf=0.11271 (0.500 d)  fly=0.00km  acc=NaN  fail (7s)
  ( 4, 4) T= 10.0  tf=0.12687 (0.562 d)  fly=0.01km  acc=NaN  fail (4s)
  ( 4, 4) T=  7.0  tf=0.15914 (0.705 d)  fly=0.02km  acc=NaN  fail (4s)
  ( 4, 4) T=  5.0  tf=0.19599 (0.869 d)  fly=0.06km  acc=NaN  fail (4s)
  ( 4, 4) T=  3.0  tf=0.26666 (1.182 d)  fly=0.28km  acc=NaN  fail (4s)
  ( 4, 4) T=  2.0  tf=0.33877 (1.502 d)  fly=0.00km  acc=0.0e+00  OK (30s)
  ( 4, 4) T=  1.5  tf=0.40073 (1.776 d)  fly=0.00km  acc=0.0e+00  OK (24s)
  ( 4, 4) T=  1.0  rejected pre-flight (minAlt 2532 km, tf 6.1473) -- ladder stops
  ( 5, 4) T= 15.0  tf=0.10768 (0.477 d)  fly=0.00km  acc=NaN  fail (26s)
  ( 5, 4) T= 12.0  tf=0.12060 (0.535 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 5, 4) T= 10.0  tf=0.13230 (0.586 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 5, 4) T=  7.0  tf=0.15871 (0.703 d)  fly=0.00km  acc=NaN  fail (11s)
  ( 5, 4) T=  5.0  tf=0.18889 (0.837 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 5, 4) T=  3.0  tf=0.24819 (1.100 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 5, 4) T=  2.0  tf=0.31183 (1.382 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 5, 4) T=  1.5  tf=0.36938 (1.637 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 5, 4) T=  1.0  rejected pre-flight (minAlt 2532 km, tf 6.1473) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 148 verified entries over 16 cells, 4.6 min
THRUST LADDER: 13 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (23 cells resumed/skipped)
  ( 6, 4) T= 15.0  tf=0.13155 (0.583 d)  fly=0.00km  acc=NaN  fail (15s)
  ( 6, 4) T= 12.0  tf=0.14765 (0.654 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 6, 4) T= 10.0  tf=0.16213 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 4) T=  7.0  tf=0.19439 (0.862 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 6, 4) T=  5.0  tf=0.23044 (1.021 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 6, 4) T=  3.0  tf=0.29830 (1.322 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 6, 4) T=  2.0  tf=0.36655 (1.625 d)  fly=0.00km  acc=NaN  fail (12s)
  ( 6, 4) T=  1.5  tf=0.42472 (1.883 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 6, 4) T=  1.0  rejected pre-flight (minAlt 2532 km, tf 6.1473) -- ladder stops
