THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 3, 4) T= 15.0  tf=0.33048 flown 793327.7 km > gate -- ladder stops
THRUST LADDER: 14 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (22 cells resumed/skipped)
  ( 5, 4) T= 15.0  tf=0.09250 (0.410 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 5, 4) T= 12.0  tf=0.10517 (0.466 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T= 10.0  tf=0.11687 (0.518 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  7.0  tf=0.14398 (0.638 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 4) T=  5.0  tf=0.17625 (0.781 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T=  3.0  tf=0.24533 (1.087 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  2.0  tf=0.33437 (1.482 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  1.5  tf=0.43661 (1.935 d)  fly=0.00km  acc=0.0e+00  OK (26s)
  ( 5, 4) T=  1.0  tf=0.34969 (1.550 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 4) T= 15.0  tf=0.10119 (0.449 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 6, 4) T= 12.0  tf=0.11426 (0.506 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T= 10.0  tf=0.12614 (0.559 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  7.0  tf=0.15316 (0.679 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  5.0  tf=0.18447 (0.818 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  3.0  tf=0.24828 (1.101 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  2.0  tf=0.31936 (1.416 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  1.5  tf=0.30523 (1.353 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 6, 4) T=  1.0  tf=0.38311 (1.698 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 1, 5) T= 15.0  tf=0.11092 (0.492 d)  fly=0.01km  acc=NaN  fail (274s)
  ( 1, 5) T= 12.0  tf=0.09910 (0.439 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 5) T= 10.0  tf=0.10786 (0.478 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  7.0  tf=0.12668 (0.562 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  5.0  tf=0.14653 (0.650 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T=  3.0  tf=0.18080 (0.801 d)  fly=0.00km  acc=0.0e+00  OK (1s)
