THRUST LADDER DONE: 188 verified entries over 10 cells, 4.5 min
THRUST LADDER: 9 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (27 cells resumed/skipped)
  ( 3, 5) T= 15.0  tf=0.13556 (0.601 d)  fly=0.02km  acc=NaN  fail (137s)
  ( 3, 5) T= 12.0  tf=0.41010 flown 724036.0 km > gate -- ladder stops
  ( 5, 5) T= 15.0  tf=0.11463 (0.508 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 5, 5) T= 12.0  tf=0.12955 (0.574 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 5) T= 10.0  tf=0.14310 (0.634 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  7.0  tf=0.17371 (0.770 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  5.0  tf=0.20865 (0.925 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  3.0  tf=0.27788 (1.232 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 5) T=  2.0  tf=0.35574 (1.577 d)  fly=0.00km  acc=0.0e+00  OK (1s)
