  ( 3, 4) T=  5.0  tf=0.18321 (0.812 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 4) T=  3.0  tf=0.25865 (1.147 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 3, 4) T=  2.0  tf=0.33668 (1.492 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 3, 4) T=  1.5  tf=0.39790 (1.764 d)  fly=0.00km  acc=NaN  fail (5s)
  ( 3, 4) T=  1.0  rejected pre-flight (minAlt 4138 km, tf 5.4986) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 162 verified entries over 19 cells, 4.0 min
THRUST LADDER: 16 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (20 cells resumed/skipped)
  ( 1, 4) T= 15.0  tf=0.34908 flown 380624.5 km > gate -- ladder stops
  ( 4, 4) T= 15.0  tf=0.10416 (0.462 d)  fly=0.01km  acc=NaN  fail (141s)
  ( 4, 4) T= 12.0  tf=0.10263 (0.455 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 4, 4) T= 10.0  tf=0.11499 (0.510 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 4) T=  7.0  tf=0.14361 (0.637 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 4, 4) T=  5.0  tf=0.17678 (0.784 d)  fly=0.01km  acc=NaN  fail (6s)
  ( 4, 4) T=  3.0  tf=0.24114 (1.069 d)  fly=0.05km  acc=NaN  fail (4s)
  ( 4, 4) T=  2.0  rejected pre-flight (minAlt 500 km, tf 3.0369) -- ladder stops
  ( 5, 4) T= 15.0  tf=0.07056 (0.313 d)  fly=0.00km  acc=0.0e+00  OK (46s)
  ( 5, 4) T= 12.0  tf=0.07829 (0.347 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 5, 4) T= 10.0  tf=0.08530 (0.378 d)  fly=0.00km  acc=0.0e+00  OK (58s)
THRUST LADDER: 13 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (23 cells resumed/skipped)
  ( 6, 4) T= 15.0  tf=0.33109 flown 883023.4 km > gate -- ladder stops
  ( 1, 5) T= 15.0  tf=0.09745 (0.432 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 5) T= 12.0  tf=0.10933 (0.485 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T= 10.0  tf=0.12018 (0.533 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  7.0  tf=0.14546 (0.645 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  5.0  tf=0.17725 (0.786 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T=  3.0  tf=0.25793 (1.143 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T=  2.0  tf=0.35284 (1.564 d)  fly=1.95km  acc=NaN  fail (94s)
  ( 1, 5) T=  1.5  rejected pre-flight (minAlt 500 km, tf 1.7741) -- ladder stops
  ( 2, 5) T= 15.0  tf=0.08300 (0.368 d)  fly=0.00km  acc=0.0e+00  OK (46s)
  ( 2, 5) T= 12.0  tf=0.09339 (0.414 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T= 10.0  tf=0.10301 (0.457 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  7.0  tf=0.12600 (0.559 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  5.0  tf=0.15622 (0.692 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  3.0  tf=0.24348 (1.079 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 5) T=  2.0  tf=0.37686 (1.671 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 5) T=  1.5  rejected pre-flight (minAlt 500 km, tf 3.1648) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 181 verified entries over 13 cells, 4.0 min
THRUST LADDER: 11 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (25 cells resumed/skipped)
  ( 6, 4) T= 15.0  tf=0.33109 flown 883023.4 km > gate -- ladder stops
  ( 3, 5) T= 15.0  tf=0.06348 (0.281 d)  fly=0.00km  acc=0.0e+00  OK (26s)
  ( 3, 5) T= 12.0  tf=0.07124 (0.316 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T= 10.0  tf=0.07843 (0.348 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  7.0  tf=0.09566 (0.424 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  5.0  tf=0.11878 (0.527 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  3.0  tf=0.19690 (0.873 d)  fly=0.00km  acc=0.0e+00  OK (29s)
  ( 3, 5) T=  2.0  tf=0.33920 (1.504 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 5) T=  1.5  tf=0.45744 (2.028 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 3, 5) T=  1.0  rejected pre-flight (minAlt 6984 km, tf 5.7357) -- ladder stops
  ( 4, 5) T= 15.0  tf=0.08006 (0.355 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 4, 5) T= 12.0  tf=0.09027 (0.400 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T= 10.0  tf=0.09964 (0.442 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  7.0  tf=0.12131 (0.538 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  5.0  tf=0.14725 (0.653 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  3.0  tf=0.20562 (0.911 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 5) T=  2.0  tf=0.29725 (1.318 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T=  1.5  rejected pre-flight (minAlt 500 km, tf 3.6331) -- ladder stops
  ( 5, 5) T= 15.0  direct fail (defect 4.8e+01) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 196 verified entries over 11 cells, 5.0 min
THRUST LADDER: 8 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (28 cells resumed/skipped)
  ( 5, 5) T= 15.0  direct fail (defect 4.8e+01) -- ladder stops
  ( 6, 5) T= 15.0  tf=0.10060 (0.446 d)  fly=0.00km  acc=0.0e+00  OK (15s)
